,age,job,marital,education,housing,loan,contact,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
0,30,blue-collar,married,basic.9y,yes,no,cellular,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no
1,39,services,single,high.school,no,no,telephone,4,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
2,25,services,married,high.school,yes,no,telephone,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
4,47,admin.,married,university.degree,yes,no,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
5,32,services,single,university.degree,no,no,cellular,3,999,2,failure,-1.1,94.199,-37.5,0.884,4963.6,no
6,32,admin.,single,university.degree,yes,no,cellular,4,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,no
7,41,entrepreneur,married,university.degree,yes,no,cellular,2,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
8,31,services,divorced,professional.course,no,no,cellular,1,999,1,failure,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no
9,35,blue-collar,married,basic.9y,no,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
10,25,services,single,basic.6y,yes,no,cellular,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.958,5228.1,no
11,36,self-employed,single,basic.4y,no,no,cellular,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.968,5228.1,no
12,36,admin.,married,high.school,no,no,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
13,47,blue-collar,married,basic.4y,yes,no,telephone,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no
14,29,admin.,single,high.school,no,no,cellular,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no
15,27,services,single,university.degree,no,no,cellular,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
