,test,pred
0,0,1
1,0,0
2,0,0
3,0,0
4,0,1
5,0,1
6,0,0
7,0,1
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,1
14,0,0
15,0,0
16,0,0
17,0,0
18,1,0
19,0,0
20,1,1
21,0,0
22,0,0
23,0,0
24,1,0
25,0,0
26,0,1
27,0,0
28,0,1
29,0,0
30,0,1
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,1
37,0,1
38,0,0
39,0,1
40,0,1
41,0,0
42,0,1
43,0,0
44,0,0
45,0,1
46,0,1
47,0,0
48,1,1
49,0,1
50,0,0
51,0,0
52,0,0
53,0,0
54,1,1
55,0,1
56,0,1
57,0,1
58,0,1
59,0,0
60,0,0
61,1,1
62,0,1
63,1,0
64,1,0
65,0,1
66,0,1
67,1,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,1
74,0,0
75,0,0
76,0,1
77,0,0
78,0,0
79,0,0
80,1,0
81,0,0
82,0,0
83,0,1
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,1
92,0,0
93,0,1
94,0,1
95,0,1
96,0,0
97,0,0
98,0,1
99,0,1
100,0,1
101,0,0
102,0,0
103,0,1
104,0,0
105,1,0
106,0,0
107,0,0
108,0,0
109,0,1
110,0,0
111,0,1
112,0,0
113,0,1
114,0,0
115,0,0
116,0,1
117,0,0
118,1,1
119,0,0
120,0,1
121,1,1
122,0,0
123,0,0
124,1,1
125,0,0
126,0,1
127,0,0
128,1,0
129,0,0
130,0,0
131,0,0
132,1,1
133,0,0
134,0,1
135,0,0
136,0,0
137,0,0
138,1,1
139,0,0
140,0,0
141,1,1
142,0,0
143,0,0
144,0,0
145,0,1
146,0,0
147,0,1
148,0,1
149,0,1
150,0,0
151,1,1
152,0,1
153,0,1
154,0,0
155,0,0
156,0,1
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,1,0
164,0,1
165,0,0
166,0,0
167,0,1
168,0,1
169,0,0
170,1,1
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,1
178,0,1
179,1,0
180,0,0
181,0,1
182,0,1
183,0,1
184,0,0
185,0,0
186,0,0
187,0,1
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,1
196,0,1
197,0,0
198,0,1
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,1
207,0,1
208,0,0
209,1,1
210,0,0
211,1,0
212,0,0
213,0,0
214,0,1
215,0,0
216,1,1
217,0,0
218,0,0
219,0,0
220,0,0
221,0,1
222,0,1
223,0,0
224,0,1
225,0,0
226,0,0
227,0,0
228,0,1
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,1,0
237,1,1
238,1,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,1
249,0,0
250,0,0
251,0,0
252,0,1
253,0,0
254,0,0
255,0,0
256,0,1
257,0,0
258,0,0
259,0,0
260,0,0
261,0,1
262,1,1
263,0,0
264,0,0
265,0,1
266,1,1
267,0,0
268,0,0
269,0,1
270,0,0
271,0,1
272,0,1
273,0,0
274,0,0
275,1,0
276,0,0
277,0,0
278,0,0
279,1,1
280,0,0
281,0,0
282,0,0
